sheet_index,Supermarket,competition_group,high_comp,proximity_tertile,pct_price_change,twfe_effect,twfe_se,n_obs,n_items,drop_far_right_outlier,lat,lng,proximity_score,nearest_km
58,Ekra #7 Morata,Low/Mid Competition,0,Low,-9.023514153110101,-.0945691101484966,.0257572067868853,64,14,0,-9.408622224,147.1861738,10.15082732005237,.0379027611371379
59,Best Gear,High Competition,1,High,-7.12152606478933,-.0738782792328919,.0203382815703052,63,13,0,-9.440722736,147.1944733,21.06948732063993,.1637430320729107
60,Central supermarket,High Competition,1,High,-8.262500569669328,-.0862389543266862,.0132744307891874,76,16,0,-9.441948030000001,147.1953013,21.56962010753291,.0830301667108046
61,Skel Wan supermarket,High Competition,1,High,-11.20547873000837,-.1188452353033346,.0516277845986841,60,13,0,-9.442622839,147.1947189,21.85259109043184,.011950496182448
63,Gordon's Wholesale,High Competition,1,High,-14.6228790844573,-.1580920260567404,.0538728654686176,72,15,0,-9.44263011,147.1948276,21.85489684744897,.0105778806286872
64,Jade Island,High Competition,1,High,-15.0845281366115,-.1635138729559246,.0636554882587879,80,17,0,-9.442641016,147.1949234,21.84576184446337,.0105778806286872
65,Plazawan,High Competition,1,High,-11.71353420170816,-.1245833653435567,.0213021375475172,72,16,0,-9.442539226999999,147.1957637,21.58674960041613,.0830301667108046
66,Eliseo Erima,High Competition,1,High,-10.53811710917892,-.1113575409120001,.0364781364242387,86,20,0,-9.437781555000001,147.2039459,17.04367368893784,.0466264599567599
67,Bhuiya enterprise ltd- Erima Branch,High Competition,1,High,-14.14869195262447,-.1525533623323104,.0405634243236484,83,17,0,-9.43838,147.203,17.60241163568236,.123261170851712
68,Supreme supermarket,High Competition,1,High,-3.282289316929354,-.0333736494915553,.0497317687128086,82,17,0,-9.453689376,147.2064327,17.97780091902665,.0524627056664397
69,Azmir Super Market,High Competition,1,High,-8.546865553269745,-.0893435367606761,.0288094905350264,73,16,0,-9.45379,147.2069,17.84329719253052,.0524627056664397
70,Happy supermarket,High Competition,1,High,-9.645144006062834,-.1014254239200191,.0253876668683367,83,17,0,-9.453847732,147.2074179,17.64278919722989,.0483454118932689
71,Xushang Supermarket,High Competition,1,High,-12.04387008353969,-.1283320194907145,.0426618697399503,76,16,0,-9.453886625999999,147.2078569,17.42814515503887,.0483454118932689
72,Good link wholesale and retail,Low/Mid Competition,0,Medium,-4.607701959307109,-.0471723441190312,.0356347426541666,86,18,0,-9.477906584999999,147.1990029,16.30760524083077,.0914137805979611
73,Shopsmart manu,Low/Mid Competition,0,Medium,.2113314615432405,.002111084707213,.052249848253397,81,17,0,-9.478113394999999,147.1998813,16.26539358274008,.0498616914226293
74,Kwik Mart Manu,Low/Mid Competition,0,Medium,-.4622255582221846,-.0046329712386411,.0137697084647968,71,16,0,-9.477671904999999,147.1998017,16.38725232301748,.0498616914226293
75,RH Kwik Mart Rainbow,Low/Mid Competition,0,Low,-10.20196691843016,-.1076071142430945,.0380520472093579,80,17,0,-9.40132,147.1609,8.282583252922787,.0916123821014145
76,Ivy Waikele,Low/Mid Competition,0,Low,1.7165716822656,.0170200505203221,.0667283456482557,67,14,0,-9.379282379999999,147.1601048,4.794877788733978,.0630059609773359
77,Ekra Waikele,Low/Mid Competition,0,Low,-8.993816521459575,-.0942427314661282,.0395630340727285,75,16,0,-9.378828133000001,147.1604481,4.71475520316754,.0630059609773359
79,Badili Mart,Low/Mid Competition,0,Medium,-7.644292578750189,-.0795226791815879,.0419630021015176,63,13,0,-9.480487038,147.1763827,11.78137998511555,.1587095793125779
80,Way back supermarket Hanuabada,Low/Mid Competition,0,Low,-12.4514864310606,-.1329771054821484,.0589025495461171,83,17,0,-9.450139252,147.1514448,7.901166824408411,.0973063831168962
81,New Star Hanuabada,Low/Mid Competition,0,Low,-5.309319442209848,-.0545546007992672,.0224682263144775,60,12,0,-9.450575231,147.1506756,7.694603202433572,.0973063831168962
82,Maxim Trading Sabama,Low/Mid Competition,0,Medium,-11.93899592812142,-.1271403835919583,.0451810484920692,83,18,0,-9.488400889999999,147.1928837,11.69061991029291,.1011245563415542
83,Unity market Sabama,Low/Mid Competition,0,Medium,-2.98457414026162,-.0303001906467172,.0429759251565189,85,17,0,-9.488882727,147.1936657,11.55652684777276,.1011245563415542
84,Shop and save Tokarara,Low/Mid Competition,0,Medium,.3683977240609204,.0036772080164724,.0406175912837931,74,16,0,-9.430285397,147.168425,13.03974447607412,.0711932035521058
